cancer,ICI.OS_1y_rate,TCGA.OS_1y_rate,totalTMB,Truncating mutations,Missense mutations,nonSynTMB,SNVtotalTMB,indeltotalTMB,SNVnonSynTMB,indelnonSynTMB,MATH,ITH,SNVTNB,indelTNB,totalTNB,Ti,Tv,TiTv,Cell cycle,HIPPO,MYC,NOTCH,NRF2,PI3K/Akt,RTK/RAS,TP53,TGF¦Â,WNT,metabolism_score,GZMM,CD8A,IFNG,CTSW,GZMA,PDCD1,ZAP70,PRF1,MCAM,PSMB8,GEP,DCindex,CYT,IFNG10,IFNG6,IFNG28,IFNG18,IFNG4,Teff.IFN¦Ã,Teff,MHC_score,MHC_I_score,MHC_II_score,StromalScore,ImmuneScore,ESTIMATEScore,aDC,B cells,CD8+T,eosinophils,iDC,macrophages,mast cells,neutrophils,Nkbright,Nkdim,T helper cells,Tcm,Tem,Tfh,Tgd,Treg,CD8/Treg,dim/briNK,aiDC,adpinat,BCR Shannon,BCR Evenness,BCR Richness,TCR Shannon,TCR Evenness,TCR Richness,purity,BER,NER,MMR,FA,HR,NHEJ,DR,TLS,DS,CNVburden,Number of Segments,Fraction Altered,Aneuploidy score,LOH_n_seg,LOH_frac_altered,NtAI,LST,HRD-LOH,HRD score,CIN score,ploidy,WGD,lncRNAscore,Hypermethylation Frequency,Hypomethylation Frequency,DMI score,LINE1
ACC,0.467,0.923913043,39.5,3.5,22,27,37,2,25,2,47.06044594,0.06,12,6,24,51.86206897,48.13793103,1.077380952,0.302631579,0.052631579,0.065789474,0.105263158,0,0.157894737,0.223684211,0.276315789,0.013157895,0.407894737,48995.76295,1.538061757,1.012285731,0,1.433461877,1.782966225,0.442529754,0.717841531,1.825316655,5.40315213,6.826605377,3.741922524,2.520741704,1.88966931,1.235788901,1.346070461,1.150980319,1.770725078,0.372157499,0.539495709,0.28129124,0.37932188,0.358748225,0.401397365,-832.5075603,-413.4336724,-1201.065722,5243.231376,2459.548394,7829.116255,7520.241163,7036.688399,6976.44945,3589.597568,4257.24137,5717.127241,1009.939952,10634.39115,7253.5394,6992.576161,5750.950124,9123.070958,6252.559702,1.270304767,0.149828895,0.706829405,1.365238992,1.607709866,0.70258287,12,0.693147181,0.961955575,0,0.84,0.039473684,0.078947368,0.342105263,0.013157895,0.092105263,0.039473684,0.013157895,0.039473684,0.092105263,271,138,0.943818913,17,120,0.483331803,3,2.5,2,9,NA,2.5,0.533333333,-0.194500619,0.010106499,0.057113643,0.022244323,0.540594152
BLCA,0.4,0.794209988,252,21,144,166,247,5,161,5,41.53081975,0.16,74,28,124,51.43769968,48.56230032,1.059210526,0.80952381,0.255639098,0.180451128,0.423558897,0.085213033,0.456140351,0.639097744,0.62406015,0.090225564,0.197994987,44070.55418,1.865120692,2.472533499,0.470503905,4.398634157,3.518388732,1.529153306,1.652183223,2.941597483,5.253835294,7.439050401,5.125354466,3.975735485,3.269647324,3.173307045,3.48959121,2.954763926,3.570422349,1.734910372,1.773305679,1.564092015,0.464814561,0.464007951,0.444381689,-520.5153691,168.7938355,-314.4618618,6435.165861,4673.31417,9235.112384,6298.933093,8280.937368,8239.393873,3569.332184,5251.250307,7771.28788,2160.396013,11317.88184,7503.74083,7260.250209,6394.275239,9828.399041,7270.895422,1.286041881,0.284582001,0.780970273,1.314878503,1.91453352,0.881145717,9,1.945910149,0.982336813,5,0.61,0.065162907,0.182957393,0.095238095,0.117794486,0.255639098,0.105263158,0.097744361,0.127819549,0.213032581,434.5,166,0.547058105,14,57.5,0.180869749,11,8,6,26,3264.32,2.985,0.600985222,1.337188392,0.007513894,0.069821794,0.018288869,0.552671066
CESC,0.5319,0.922792194,162,10,75,86,159,4,84,2,34.88470588,0.1,36.5,6,56,59.71428571,40.28571429,1.482269504,0.194852941,0.297794118,0.069852941,0.345588235,0.091911765,0.588235294,0.371323529,0.132352941,0.125,0.121323529,44697.41296,2.645054842,3.519567296,1.344355422,4.013598613,5.348865811,2.362942289,2.538196547,4.037934669,4.64578605,7.99911777,6.052673798,4.643611703,4.654299281,4.715886345,5.350535099,4.016930161,4.589441123,2.99445445,2.996638051,2.874914823,0.524862759,0.519255203,0.496320915,-831.2899277,590.0321835,-213.3928831,8327.864325,5419.376854,10378.6487,6129.290279,7804.205423,7961.903966,3069.793436,5043.011228,7347.643121,3737.6954,11541.72027,7114.806927,6640.037809,6194.373406,9629.192458,7695.616479,1.368829051,0.530379019,1.068389007,1.307501348,2.427985019,0.888975883,17.5,2.441015278,0.980670731,11,0.67,0.029411765,0.051470588,0.044117647,0.033088235,0.121323529,0.047794118,0.202205882,0.0625,0.091911765,313,118,0.344995053,8,40,0.156671155,8,5,5,18,3330.77,2.11,0.333333333,1.417046976,0.012342038,0.02307917,0.017095193,0.645874602
CHOL,0.4167,0.826196729,67,6,32,36.5,63,4,33,3,41.33757402,0.07,14,4,25.5,52.01288245,47.98711755,1.083916084,0.527777778,0.166666667,0.194444444,0.083333333,0.055555556,0.166666667,0.555555556,0.194444444,0.027777778,0.166666667,48686.23502,2.288657884,2.414184886,0.38486897,3.009598699,4.640206235,2.679504367,1.873778181,2.771395423,6.113350678,7.640011189,5.187096248,4.640348302,3.526087504,2.956732757,3.149414789,2.739231916,3.152205373,1.620077851,1.71851496,1.473463181,0.379917169,0.439997973,0.388917957,-388.1641697,183.1385414,-248.6881147,5122.943013,4566.363262,9324.176609,6647.376404,7605.790227,7949.635043,3324.473936,5355.933183,7726.036224,2562.326631,10620.4235,7486.982234,7461.079232,6495.088578,9249.391018,7413.781021,1.239606911,0.341956327,0.72212214,1.382197495,1.255540487,0.823862844,4,1.945910149,0.983844637,6,0.745,0.055555556,0.027777778,0,0,0.055555556,0.027777778,0.083333333,0.027777778,0.083333333,219.5,115,0.581993035,9,77,0.227360791,8,6,7,23,3008.3,1.91,0.222222222,0.670923375,NA,NA,NA,0.677741833
CRCH,0.73,0.904842903,1805,268,827.5,1129,1489,298.5,900,230.5,27.28010751,0.02,478,1981,2467,78.21688481,21.78311519,3.590730337,0.698412698,0.603174603,0.492063492,0.666666667,0.015873016,0.619047619,0.968253968,0.476190476,0.46031746,0.936507937,48876.11187,2.463889489,3.587374416,1.532820736,3.716375017,5.652591474,2.481133679,2.287809115,4.514759102,4.987601019,8.687864379,6.212986951,4.746069993,5.135831715,5.138995112,5.588494956,4.425881371,5.006708557,3.155059632,3.280465395,3.150900533,0.547267515,0.503184579,0.517707645,-321.6142832,816.4366575,462.7438511,6847.36883,5223.036608,10449.43786,7355.616645,8140.605172,8799.37326,4013.33339,5651.337846,6773.832705,4120.450822,11444.13579,6807.027262,7517.958896,6191.664944,10320.52393,8699.80278,1.211643846,0.568864248,0.868925391,1.277386661,2.89404708,0.867876976,32.5,2.351673302,0.981718986,11,0.595,0.174603175,0.380952381,0.920634921,0.333333333,0.523809524,0.444444444,0.46031746,0.333333333,0.46031746,6,87.5,0.044341393,1,8,0.015411713,1,1,0,2,158.71,2.03,0.037037037,1.78109917,0.032112585,0.022640959,0.020003829,0.628159882
ESCC,0.374,0.797982528,164,12,78.5,92.5,156,7,86.5,4,47.28982759,0.18,47,NA,NA,52.66714083,47.33285917,1.112698413,0.888888889,0.211111111,0.222222222,0.377777778,0.233333333,0.533333333,0.5,0.955555556,0.133333333,0.133333333,40591.07489,1.03262724,2.280230009,0.621347223,2.476449183,3.314575166,1.614727735,1.293537273,2.781261057,5.348052406,6.965450393,5.298549658,4.3372846,3.160979206,3.255899861,4.032060426,3.004586448,3.586434891,2.086747655,2.003176534,2.014020756,0.359192397,0.406360717,0.363279626,-456.713698,119.0753717,-300.9712449,7274.402675,3900.135189,8421.027147,5854.811911,7444.578429,8094.867616,2165.056613,4658.494322,6256.981903,1438.321049,11178.70505,7853.861736,6468.039427,5607.109823,9399.344183,7313.683474,1.196092242,0.254522475,0.985303636,1.392485162,3.077083534,0.853312412,41,3.29530562,0.938934775,36.5,0.6,0.055555556,0.066666667,0.1,0.088888889,0.188888889,0.111111111,0.122222222,0.122222222,0.077777778,510,217,0.641726659,14,132,0.335566876,15,10,11,38,4896.77,2.45,0.530120482,0.259668442,0.010906014,0.021034181,0.016181685,0.546812893
GBM,0.359,0.58101617,77,6,44,51,74,3,48,3,27.66593226,0.06,23,8,35.5,68.62745098,31.37254902,2.1875,0.857142857,0.103174603,0.063492063,0.182539683,0,0.571428571,0.76984127,0.476190476,0.015873016,0.079365079,44486.45864,1.744491705,1.784760033,0.09364666,1.92415268,2.594747602,0.926088932,1.209949997,2.844409976,6.397153483,7.350354335,4.719438942,4.142425749,2.723426884,2.255257594,2.002743614,2.112335629,2.434417975,0.879350227,0.99266107,0.805465148,0.382746786,0.414971621,0.413060377,-163.7497834,602.8156533,430.958393,4979.412039,3555.062549,7803.540636,7362.540126,7170.169789,9817.426866,2508.405125,5208.33296,6653.915075,-732.0419532,10684.00256,6205.316093,7071.093296,7775.019318,8834.620574,8066.094035,0.95758162,-0.116159293,0.671355241,1.37959604,0.685587329,0.921120136,2,1.897656956,0.990016836,6,0.77,0.007936508,0.031746032,0.047619048,0.047619048,0.055555556,0.031746032,0.277777778,0.015873016,0.047619048,43,154,0.217741752,7,21,0.110244481,2,2,2,7,NA,2,0.14664311,-1.701531749,0.016797591,0.047619048,0.034166321,0.667050319
GESC,0.2645,0.753887608,178,12,101,115,173,6,109,5,39.48281556,0.15,55.5,NA,NA,60.30378729,39.69621271,1.519132653,0.701298701,0.214285714,0.188311688,0.367965368,0.021645022,0.398268398,0.603896104,0.612554113,0.283549784,0.357142857,43557.42887,2.04997253,3.508599904,0.989378732,3.18214689,4.462723136,2.467103041,2.297804256,3.526609562,5.855454894,7.672711104,5.894525994,4.982881007,3.96754218,4.11668025,4.620545215,4.122677294,4.759679504,2.523844756,2.858712528,2.41241883,0.470471769,0.457519738,0.461715973,34.73345534,826.4161546,782.4289672,6854.775017,5380.332774,9764.885406,7190.944298,7590.239263,8677.054726,3725.358347,5231.041868,7054.031056,2258.09408,11276.13084,7014.25807,7210.952704,5880.371463,9576.160014,8155.857844,1.222649363,0.320579099,0.894338431,1.310764625,3.835820052,0.83578341,119,4.05291164,0.947026273,92,0.53,0.08008658,0.125541126,0.207792208,0.112554113,0.220779221,0.106060606,0.393939394,0.151515152,0.162337662,367,173,0.457873557,11,76,0.217043187,10,8,6,25,2441.17,2.18,0.433268859,-0.00285784,0.018225852,0.033158049,0.02145403,0.601232033
HNSC,0.365,0.824409588,155,13,88,102,148,5,97,4,36.06211153,0.13,46,17,72,53.33333333,46.66666667,1.142857143,0.780287474,0.369609856,0.180698152,0.340862423,0.114989733,0.41889117,0.422997947,0.716632444,0.125256674,0.147843943,43725.32945,2.040937652,2.918137668,0.980223631,3.014665889,4.489214488,2.029946438,1.88874428,3.888901924,5.460099749,7.579006131,5.900670395,4.729216061,4.151806267,4.217160615,4.784779642,3.739999279,4.366417934,2.647827456,2.586765388,2.577349041,0.479429362,0.523343599,0.44323984,-256.9638513,645.4341475,449.7769803,8753.856599,5449.912608,9925.742041,6280.779529,8443.536398,8630.804533,3890.339458,6001.596786,6954.793455,3715.813291,11329.26626,7636.422154,7264.864377,6804.0842,10124.45551,8788.820044,1.153643184,0.537883961,1.026081633,1.276449929,2.651693995,0.875126227,23,2.523210953,0.982395665,13,0.49,0.061601643,0.051334702,0.065708419,0.057494867,0.13963039,0.055441478,0.262833676,0.057494867,0.075975359,460.5,127,0.37468694,10,33,0.206498485,10,6,7,24,2356.66,2.11,0.386538462,0.367186194,0.008631664,0.02512416,0.016022811,0.587213484
KIRC,0.715,0.898240787,75,9,40,52,68,7,45,6,28.87079038,0.025,22,38.5,62.5,46.26865672,53.73134328,0.861111111,0.136363636,0.051136364,0.053977273,0.079545455,0.028409091,0.170454545,0.139204545,0.056818182,0.034090909,0.071022727,52683.90574,3.338143292,4.613166482,1.073022602,4.82269662,5.934553491,2.514149588,2.710791348,5.273433282,7.9980416,8.135302712,6.512017877,5.633396155,5.570857336,4.918410112,5.117691314,4.551889528,5.073996227,2.656407297,3.518722572,2.653313276,0.539394574,0.540399142,0.538996982,754.7952123,1397.081376,2186.43787,5909.363019,5113.636451,10836.97651,7201.399805,7686.006469,9160.161038,4220.883223,7831.388334,6018.097169,3339.614997,11261.02459,8179.433434,8228.666552,6796.466845,10076.94627,9386.434783,1.164599832,0.552529468,0.773935464,1.353671187,1.393119382,0.842080244,6,3.260918854,0.96780905,33,0.56,0.019886364,0.039772727,0.042613636,0.025568182,0.071022727,0.039772727,0.011363636,0.019886364,0.079545455,48,75,0.159687607,4,6,0.074121215,2,2,1,5,888.43,2,0.19047619,-3.668245801,0.007715714,0.01665206,0.012340734,0.637236211
