cancer,Nkdim,dim/briNK,CD8+T,metabolism score,GZMM,CYT,CD8A,IFNG,CNV burden,CTSW,GZMA,PDCD1,ZAP70,MHC_score,PRF1,MCAM,PSMB8,lncRNAscore,Teff/IFNy,CIN score,log10(indelTNB+1),log10(totalTNB+1),log10(indeltotalTMB+1),log10(indelnonSynTMB+1),log10(Truncating mutations+1),OS_1y_rate
ACC,1009.939952,0.149828895,7829.116255,48995.76295,1.538061757,1.88966931,1.012285731,0,271,1.433461877,1.782966225,0.442529754,0.717841531,0.37932188,1.825316655,5.40315213,6.826605377,-0.194500619,0.539495709,,0.84509804,1.397940009,0.477121255,0.477121255,0.653212514,0.467
BLCA,2160.396013,0.284582001,9235.112384,44070.55418,1.865120692,3.269647324,2.472533499,0.470503905,434.5,4.398634157,3.518388732,1.529153306,1.652183223,0.464814561,2.941597483,5.253835294,7.439050401,1.337188392,1.773305679,3264.32,1.462397998,2.096910013,0.77815125,0.77815125,1.342422681,0.4
CESC,3737.6954,0.530379019,10378.6487,44697.41296,2.645054842,4.654299281,3.519567296,1.344355422,313,4.013598613,5.348865811,2.362942289,2.538196547,0.524862759,4.037934669,4.64578605,7.99911777,1.417046976,2.996638051,3330.77,0.84509804,1.755874856,0.698970004,0.477121255,1.041392685,0.5319
CHOL,2562.326631,0.341956327,9324.176609,48686.23502,2.288657884,3.526087504,2.414184886,0.38486897,219.5,3.009598699,4.640206235,2.679504367,1.873778181,0.379917169,2.771395423,6.113350678,7.640011189,0.670923375,1.71851496,3008.3,0.698970004,1.423245874,0.698970004,0.602059991,0.84509804,0.4167
CRCH,4120.450822,0.568864248,10449.43786,48876.11187,2.463889489,5.135831715,3.587374416,1.532820736,6,3.716375017,5.652591474,2.481133679,2.287809115,0.547267515,4.514759102,4.987601019,8.687864379,1.78109917,3.280465395,158.71,3.29710365,3.392345155,2.476396827,2.364550995,2.42975228,0.73
ESCC,1438.321049,0.254522475,8421.027147,40591.07489,1.03262724,3.160979206,2.280230009,0.621347223,510,2.476449183,3.314575166,1.614727735,1.293537273,0.359192397,2.781261057,5.348052406,6.965450393,0.259668442,2.003176534,4896.77,,,0.903089987,0.698970004,1.113943352,0.374
GBM,-732.0419532,-0.116159293,7803.540636,44486.45864,1.744491705,2.723426884,1.784760033,0.09364666,43,1.92415268,2.594747602,0.926088932,1.209949997,0.382746786,2.844409976,6.397153483,7.350354335,-1.701531749,0.99266107,,0.954242509,1.562292864,0.602059991,0.602059991,0.84509804,0.359
GESC,2258.09408,0.320579099,9764.885406,43557.42887,2.04997253,3.96754218,3.508599904,0.989378732,367,3.18214689,4.462723136,2.467103041,2.297804256,0.470471769,3.526609562,5.855454894,7.672711104,-0.00285784,2.858712528,2441.17,,,0.84509804,0.77815125,1.113943352,0.2645
HNSC,3715.813291,0.537883961,9925.742041,43725.32945,2.040937652,4.151806267,2.918137668,0.980223631,460.5,3.014665889,4.489214488,2.029946438,1.88874428,0.479429362,3.888901924,5.460099749,7.579006131,0.367186194,2.586765388,2356.66,1.255272505,1.86332286,0.77815125,0.698970004,1.146128036,0.365
KIRC,3339.614997,0.552529468,10836.97651,52683.90574,3.338143292,5.570857336,4.613166482,1.073022602,48,4.82269662,5.934553491,2.514149588,2.710791348,0.539394574,5.273433282,7.9980416,8.135302712,-3.668245801,3.518722572,888.43,1.596597096,1.802773725,0.903089987,0.84509804,1,0.715
