cancer,metabolism score,CD8+T,log10(totalTNB+1),MHC_score,OS_1y_rate
ACC_1,48830.79724,8081.189233,1.447158031,0.360762193,0.434
ACC_2,49018.52646,7710.173405,1.370969539,0.423136258,0.5
BLCA_1,43984.66198,9407.485851,2.008600172,0.475854496,0.3
BLCA_2,44023.71928,9310.180548,2.193124598,0.481247777,0.358
BLCA_3,44582.18252,9100.564761,1.889292664,0.467850498,0.359
BLCA_4,44042.02905,9367.841192,2.054957932,0.506455516,0.36
BLCA_5,44165.06093,9640.74264,2.053078443,0.542022218,0.38
BLCA_6,44447.59911,9581.764342,2.187520721,0.495840179,0.392
BLCA_7,43756.29557,8478.791296,2.017033339,0.469357439,0.4
BLCA_8,43864.0837,9420.243305,2.170013734,0.494599607,0.442
BLCA_9,43568.81436,9088.51028,2.139879086,0.401820949,0.4452
BLCA_10,44042.24286,9489.214443,1.982271233,0.454091763,0.45
BLCA_11,45014.89384,8881.245798,2.106997808,0.451590154,0.473
BLCA_12,44301.31396,8888.02683,2.159428017,0.498025735,0.529
BLCA_13,43562.65594,9254.963118,2.183938753,0.443201018,0.55
CESC_1,44663.81268,10424.24688,1.792335192,0.479815348,0.414
CESC_2,44693.23463,10482.1323,1.72427587,0.496216648,0.5
CESC_3,44762.1255,10303.12606,1.69019608,0.486584258,0.5638
CESC_4,44567.57027,10297.51413,1.770852012,0.48387837,0.775
CHOL_1,48551.28035,9196.518125,1.423168556,0.38497622,0.327
CHOL_2,48750.56462,9683.348485,1.42254902,0.470344439,0.5064
CRCH_1,48895.55139,10254.44759,3.380687689,0.498519931,0.667
CRCH_2,49013.21793,10488.05528,3.201123897,0.603290137,0.683
CRCH_3,48641.86055,10566.10667,3.438746633,0.62643205,0.73
CRCH_4,48910.30154,10406.86772,3.366184655,0.442167849,0.759
CRCH_5,49079.66245,10511.14151,3.484543169,0.502455969,0.76
HNSC_1,43707.1328,9850.082085,1.86923172,0.460413585,0.336
HNSC_2,43954.72046,10270.51997,1.86332286,0.484622637,0.359
HNSC_3,43713.97822,9786.216108,1.913813852,0.460062486,0.36
HNSC_4,43376.16085,10219.70421,1.86332286,0.458397381,0.37
HNSC_5,43874.69496,9555.982487,1.809442242,0.433481125,0.37
HNSC_6,43968.00951,10038.00608,1.85421045,0.461743229,0.38
KIRC_1,52984.07784,10759.1333,1.678872163,0.54836857,0.5988
KIRC_2,52933.8931,10988.63917,1.795866119,0.521503499,0.65
KIRC_3,52399.89776,10479.9977,1.84509804,0.548361435,0.7
KIRC_4,51815.58049,10947.61758,1.809442242,0.547179586,0.71
KIRC_5,53018.13116,10851.89554,1.77815125,0.517135385,0.71
KIRC_6,52524.26024,10753.21108,1.84509804,0.59695603,0.72
KIRC_7,52327.28513,10686.09075,1.812913357,0.564967617,0.737
KIRC_8,52853.11733,11245.88246,1.781621851,0.563239176,0.74
KIRC_9,52494.50731,10887.31064,1.785096281,0.521435244,0.7576
KIRC_10,52986.3622,11247.79013,1.959041392,0.562201658,0.81
LIHC_1,61040.65047,9447.207673,1.763363434,0.37944506,0.519
LIHC_2,61525.36719,9220.453415,1.795197974,0.426432178,0.54
LIHC_3,61423.04825,9586.457586,1.763169639,0.399397992,0.5505
LIHC_4,61100.60208,9601.037855,1.886490725,0.450025138,0.559
LIHC_5,62567.12476,9585.108369,1.929418926,0.390078355,0.564
LIHC_6,61132.34876,9654.083619,1.703099712,0.420021342,0.59
LIHC_7,61870.37712,9113.897529,1.805702319,0.392306017,0.5987
LIHC_8,61231.95507,9351.52985,1.86923172,0.380620826,0.6
LUAD_1,46076.62015,10419.07628,2.214843848,0.487567784,0.39
LUAD_2,45302.19067,10383.17421,2.299941536,0.485187938,0.42
LUAD_3,46311.27557,10413.60501,2.123851641,0.512245961,0.43
LUAD_4,45913.6312,10985.54391,2.305010512,0.496163058,0.4546
LUAD_5,46350.37151,10763.59896,2.307496038,0.470420523,0.465
LUAD_6,45740.47623,10605.78536,2.080144207,0.495096889,0.5
LUAD_7,46287.76023,10356.43919,2.204712934,0.523092668,0.507
LUAD_8,46034.4242,10452.80792,2.10720997,0.475774626,0.5209
LUAD_9,46243.37371,10568.16696,2.162798876,0.504100856,0.565
LUSC_1,44092.45002,9404.13821,2.260071388,0.398677922,0.3
LUSC_2,43923.68546,10147.53172,2.283295338,0.418431055,0.392
LUSC_3,44447.69281,10338.47038,2.271742228,0.367675233,0.41
LUSC_4,43989.26174,9999.694395,2.283301229,0.399450649,0.4176
LUSC_5,43800.19562,9847.692927,2.301029996,0.364914119,0.422
LUSC_6,44510.90106,10289.95441,2.255272505,0.402366198,0.427
LUSC_7,44697.49486,9962.572442,2.271742228,0.461738899,0.429
LUSC_8,44062.03754,10149.25194,2.195758653,0.423962964,0.43
LUSC_9,44415.29923,10192.30449,2.229077096,0.433466597,0.48
LUSC_10,44630.42228,10452.50032,2.222716471,0.429592284,0.49
LUSC_11,44371.22712,10105.44685,2.184691431,0.437451957,0.515
LUSC_12,44199.50301,9739.992643,2.311753861,0.456237003,0.5611
GBM_1,44394.61808,7764.96888,1.698970004,0.404034209,0.21
GBM_2,44725.42686,8035.213285,1.578425951,0.36561783,0.3
GBM_3,44099.77264,7727.582798,1.51851394,0.376695647,0.418
GBM_4,44384.07208,7750.507935,1.544068044,0.334900244,0.545
ESCC_1,40534.74799,7730.265451,,0.285676856,0.2
ESCC_2,40415.33992,7778.014076,,0.414963705,0.34
ESCC_3,41311.85011,8680.972006,,0.421071273,0.34
ESCC_4,40454.97751,8381.477802,,0.424049099,0.374
ESCC_5,41461.63114,8483.455244,,0.339979348,0.374
ESCC_6,40035.21637,8629.411751,,0.375634978,0.394
ESCC_7,40779.75023,9762.120761,,0.329339413,0.4
ESCC_8,40509.53921,7747.56089,,0.341473334,0.453
ESCC_9,40638.48955,8916.61968,,0.409607032,0.47
MESO_1,43496.09867,9815.846307,1.477121255,0.478311263,0.3126
MESO_2,45018.64446,9800.369177,1.204119983,0.422785392,0.434
MESO_3,44562.40548,11195.31993,1.380211242,0.495907611,0.438
MESO_4,45825.6015,10965.64183,1.635920803,0.483737665,0.443
MESO_5,44816.27498,11415.87565,1.178967424,0.598497027,0.483
MESO_6,45625.9429,10701.92216,1.414973348,0.48529545,0.483
MESO_7,45545.34471,10743.84173,1.278753601,0.650858125,0.492
MESO_8,44906.18584,10909.91755,1.650514998,0.535487213,0.5
MESO_9,45692.96692,10611.42306,1.278753601,0.523703469,0.59
MESO_10,45118.08034,10962.88177,1.041392685,0.429626426,0.626
MESO_11,44478.59179,11144.96898,1.272653558,0.494293776,0.661
OV_1,43257.13582,8988.114431,,0.423133804,0.417
OV_2,43215.70963,8732.698067,,0.434891455,0.47
